name,price,location,station,area,plan,balcony,build,regist,hashdata,kanrihi,shuuzen,kaisu,soukosu
コスモ町屋リバーシティ,3298万円,東京都荒川区町屋５,東京メトロ千代田線「町屋」歩14分,62.83m,3LDK,バルコニー面積：12.83m,1991年11月,2023/01/04 18:47,09dd078d4617d6659832460633208971c436a0e5ecc194296ddc0548e74db329,1万5500円／月（委託(通勤)）,1万8000円／月,6階,108戸
ダイアパレス柴又３階角部屋当社グループ会社保有住戸,3299万円,東京都葛飾区柴又３,京成金町線「柴又」歩9分,55m,3LDK,バルコニー面積：10.7m,1994年8月,2023/01/04 18:47,00c30ed72eb3e54da7df83cedb7743833ecf355f65ef4a3c5d053f78e27f52ec,6200円／月（委託(通勤)）,1万3920円／月,3階,98戸
ＫＭエンゼルハイム中村橋,3380万円,東京都練馬区貫井４-47-61,西武池袋線「富士見台」歩14分,52.92m,3LDK,バルコニー面積：5.91m,1992年9月,2023/01/04 18:47,bc1376e5990822e37c0dea7f3094e87a0a74f4d89d1e161edf4cc71162efe0da,1万2440円／月（委託(巡回)）,8470円／月,5階,-
コスモ町屋リバーシティ,3380万円,東京都荒川区町屋５-16-18,東京メトロ千代田線「町屋」歩14分,62.83m,3LDK,バルコニー面積：12.83m,1991年11月,2023/01/04 18:47,dc342354873004e6a9e470e8161b5e9f2530aedbff3a43d614bf9e43f68c6b7d,1万5500円／月（委託(常駐)）,1万8000円／月,6階,108戸
グランイーグル大森南２,3380万円,東京都大田区大森南２-6-14,東京モノレール「昭和島」歩15分,50.11m,2LDK,バルコニー面積：10.03m,1994年11月,2023/01/04 18:47,e814e1364e7dc28de5595c1286ea0e84b04f7f9f5e7bcff6a4fd1afba9a7bd55,8700円／月（委託(通勤)）,3600円／月,6階,59戸
パシフィック両国,3380万円,東京都墨田区立川２,都営新宿線「森下」歩7分,60.2m,3LDK,バルコニー面積：6.9m,1982年12月,2023/01/04 18:48,2fa73f8ac138df47b1966d0d798684753ec6e4da90dd9d348989591a3ea6e7d0,1万4740円／月（委託(常駐)）,1万6850円／月,3階,-
ルーブルかな杉,3399万円,東京都台東区竜泉１-27-6,東京メトロ日比谷線「入谷」歩4分,51.3m,2LDK,バルコニー面積：4.86m,1982年3月,2023/01/04 18:48,e6d55baef2b1df8f473e6f613caff4aef764f425afe4ccac083505fc421c9992,1万9010円／月（委託(常駐)）,1万2410円／月,5階,36戸
コスモ板橋本町,3399万円,東京都板橋区稲荷台29-11,都営三田線「板橋本町」歩9分,53.18m,2LDK,バルコニー面積：6.88m,1986年3月,2023/01/04 18:48,20b410d917e449c070ccbfad8cc770fabb3d90dab02043a2dd36abf8f4741240,1万2980円／月（委託(通勤)）,1万3070円／月,5階,37戸
西台セントラルマンション,3480万円,東京都板橋区西台４-4-31,東武東上線「東武練馬」歩13分,68.08m,3LDK,バルコニー面積：6.35m,1984年11月,2023/01/04 18:48,dfe3543704322880f55a4d672a4854138a027173da4034b0a3d0279717998caa,1万4590円／月（委託(通勤)）,1万7820円／月,2階,58戸
ザ・ステイツときわ台,3480万円,東京都板橋区富士見町12-8,東武東上線「中板橋」歩11分,55.57m,3LDK,バルコニー面積：5.09m,1985年6月,2023/01/04 18:48,68aa1861706f87010018e4170e19232f314edf7af701e6079cb83250e05ad9ce,1万円／月（委託(巡回)）,1万6671円／月,2階,-
北小岩パークホームズ,3480万円,東京都江戸川区北小岩４,京成本線「江戸川」歩7分,66.24m,3LDK,バルコニー面積：9.36m,1992年2月,2023/01/04 18:48,5e3e6e41937bb402e7a543029ec02e8a49811d6573acab10086af10ada68c9db,2万2900円／月（委託(巡回)）,2万1710円／月,3階,10戸
シャルム高島平,3480万円,東京都板橋区高島平７,都営三田線「新高島平」歩1分,66m,3LDK,バルコニー面積：7.2m,1983年4月,2023/01/04 18:49,4c87d8ba164a310743650de70d0756598c28edc0b43da84200e8b54bf09280ee,1万1400円／月（委託(巡回)）,1万1400円／月,3階,36戸
